url	path	bytes	sha256	last_modified
https://cims.nyu.edu/~gromov/2024:biology%20course%20%20first%205%20lectures%204.pdf	2024:biology course  first 5 lectures 4.pdf	24385848	48979cfd656394bb022c2ba07c91cea8a62f3955686fdf407d96ebed1f5949ea	Sun, 06 Oct 2024 21:43:16 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/2024%20lectures%201-3%20five%20theorems.pdf	5  great theorems. lectures 2024 /2024 lectures 1-3 five theorems.pdf	555233	eb402525014301709cdd9d066efe7d1120bdc4fa4064151a31e0ad5c084ced0e	Fri, 06 Sep 2024 19:48:06 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/5%20theorems.pdf	5  great theorems. lectures 2024 /5 theorems.pdf	563648	af680f8ecce0cf9a59a79539fd61ebc592b205f64d561d6b6f7386d626edecdc	Tue, 24 Sep 2024 12:32:02 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/Classical%20and%20Quantum%20Entropy.pdf	5  great theorems. lectures 2024 /Classical and Quantum Entropy.pdf	417565	92c710b4e40dc058e75fe0256b5734f873e0b5b0fa824448f30c2276d085946e	Fri, 30 Aug 2024 09:50:39 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/Fall%202024%2009.26/2024%20lectures%201-3%20five%20theorems.pdf	5  great theorems. lectures 2024 /Fall 2024 09.26/2024 lectures 1-3 five theorems.pdf	555233	eb402525014301709cdd9d066efe7d1120bdc4fa4064151a31e0ad5c084ced0e	Fri, 06 Sep 2024 19:48:06 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/Fall%202024%2009.26/2024:biology%20course%20%20first%205%20lectures.pdf	5  great theorems. lectures 2024 /Fall 2024 09.26/2024:biology course  first 5 lectures.pdf	24385848	48979cfd656394bb022c2ba07c91cea8a62f3955686fdf407d96ebed1f5949ea	Sun, 06 Oct 2024 21:43:16 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/Fall%202024%2009.26/Isoperimery%202023.pdf	5  great theorems. lectures 2024 /Fall 2024 09.26/Isoperimery 2023.pdf	2161477	5f293de0e5100c31c15cf54d272bc578db0413fbb9ffb28fe4690459455d4094	Wed, 26 Jun 2024 17:42:43 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/Hilbert's%20Spherical%20%20Designs%20and%20Petrunin%20Theorem%20(Full%20%20article).pdf	5  great theorems. lectures 2024 /Hilbert's Spherical  Designs and Petrunin Theorem (Full  article).pdf	907369	a25c996e627b8aaec7358abf7af9b805f53bf0762e2d14b31f483f2fa35fcd54	Fri, 30 Aug 2024 14:04:13 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/Immersion%20with%20small%20curvatures%20lecture%20Nov%202024.pdf	5  great theorems. lectures 2024 /Immersion with small curvatures lecture Nov 2024.pdf	644184	9378f8fa339765ef5f7459072ae5cf437729918aa51399fccfa71bf77bd539f9	Tue, 12 Nov 2024 01:06:06 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/entropy1.pdf	5  great theorems. lectures 2024 /entropy1.pdf	532019	bb2a80864a9f85ce58b2d02b26097cb0b59b773a7e47bf2b16a6c90e4e617261	Tue, 24 Sep 2024 18:10:16 GMT
https://cims.nyu.edu/~gromov/5%20%20great%20theorems.%20lectures%202024%20/petrunin%20tori.pdf	5  great theorems. lectures 2024 /petrunin tori.pdf	152357	2f433659a6f388cc65b802bdd9033ba060dd90e1eb6c3a3ff8b9ea37adfb4793	Fri, 02 Jun 2023 09:22:07 GMT
https://cims.nyu.edu/~gromov/Hamas%20and%201078%20Mathematicians	Hamas and 1078 Mathematicians	39827	1529cc2b910aebdfef6816b4b1ec4f0270b91c451c5418f14c976a39ebd6e7a9	Wed, 25 Dec 2024 16:15:58 GMT
https://cims.nyu.edu/~gromov/Life%20Spaces.pdf	Life Spaces.pdf	1236128	4b2e428073e3054c8b029b3365ae56506b0168788beab840e58fe59511ba209b	Thu, 26 Sep 2019 00:44:06 GMT
https://cims.nyu.edu/~gromov/Mendelian%20Dynamics%20and%20Sturtevant's%20Paradigm%20.pdf	Mendelian Dynamics and Sturtevant's Paradigm .pdf	263523	9ca239de2a66813b1a22b507baddfa2539639751bdc6f7964bce2dde3665a517	Mon, 17 Mar 2014 10:08:08 GMT
https://cims.nyu.edu/~gromov/Protein%20Spaces.pdf	Protein Spaces.pdf	3063232	35478bb2b1a21df4e7da8ce6be3356492d71e3007b481fbe461574138d7c8056	Thu, 26 Sep 2019 16:56:57 GMT
https://cims.nyu.edu/~gromov/Spaces%20and%20Questions.pdf	Spaces and Questions.pdf	413746	420678050d2322eb3bcce11a43578702fe37d7427912b0769cada142c65bf9e9	Mon, 17 Mar 2014 10:08:07 GMT
https://cims.nyu.edu/~gromov/isoperimetry%20%20dec%202023/2024%20lectures%201-4%20life%20and%20cognition.pdf	isoperimetry  dec 2023/2024 lectures 1-4 life and cognition.pdf	23813403	0e0e483cbd7348a9a80e1d3f542698d7fce91413be4d5c5dbe1a9802855abcfb	Sat, 07 Sep 2024 18:39:13 GMT
https://cims.nyu.edu/~gromov/isoperimetry%20%20dec%202023/Convex+Kahler/Convex%20Sets%20-%20Kahler%20Manifolds.pdf	isoperimetry  dec 2023/Convex+Kahler/Convex Sets - Kahler Manifolds.pdf	1607444	17ee34cb20b52273894b42e32a8ec2330d30a66c356d0bcd69274b99451815c8	Tue, 02 Oct 2018 22:38:00 GMT
